Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-21T14:04:11.746Z","Included","auto","No","40845","800","266930","4855","313430","0.15"
"2025-10-21T14:02:40.219Z","Included","auto","No","2323","5779","40899","1645","50646","0.03"
"2025-10-21T14:01:43.856Z","Errored, Not Charged","auto","No","29674","5013","54123","646","89456","0.06"
"2025-10-21T13:57:43.790Z","Included","auto","No","13478","69230","41623","2445","126776","0.13"
"2025-10-21T12:59:30.917Z","Included","auto","No","13380","3987","1249","581","19197","0.03"
"2025-10-21T12:56:44.580Z","Included","auto","No","3194","4587","11596","514","19891","0.02"
"2025-10-21T12:50:30.070Z","Included","auto","No","65469","70677","8793","1157","146096","0.18"
"2025-10-21T12:42:21.122Z","Included","auto","No","9521","61812","1150244","2199","1223776","0.39"
"2025-10-21T12:34:17.974Z","Included","auto","No","322475","211581","1015262","5991","1555309","0.96"
"2025-10-21T12:25:54.884Z","Included","auto","No","15836","99033","2664511","2683","2782063","0.83"
"2025-10-21T12:19:49.220Z","Included","auto","No","1940","97529","401039","537","501045","0.23"
"2025-10-21T12:14:01.417Z","Included","auto","No","17847","82982","2453112","4134","2558075","0.76"
"2025-10-21T12:05:37.098Z","Included","auto","No","74358","65020","1321866","1978","1463222","0.52"
"2025-10-21T11:59:30.042Z","Included","auto","No","3141","37064","256172","678","297055","0.12"
"2025-10-21T11:52:44.293Z","Included","auto","No","3206","33718","395781","982","433687","0.15"
"2025-10-21T11:50:06.802Z","Included","auto","No","2609","31423","293390","822","328244","0.12"
"2025-10-21T11:48:24.562Z","Included","auto","No","13068","17832","142461","505","173866","0.08"
"2025-10-21T11:45:22.714Z","Included","auto","No","3497","13116","165519","881","183013","0.07"
"2025-10-21T11:38:56.649Z","Included","auto","No","16293","110448","1601934","1663","1730338","0.57"
